"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04390074","COVID-19 in the Swedish ICU-cohort: Risk Factors of Critical Care Admission and Intensive Care Mortality",,"Not yet recruiting","No Results Available","COVID-19|Critical Illness","Other: COVID-19 and Intensive Care","Chronic medications as risk factor of intensive care for COVID-19|Comorbidities as risk factor of intensive care for COVID-19|Chronic medications as risk factor of death during intensive care for COVID-19|Comorbidities as risk factor of death during intensive care for COVID-19","Uppsala University|Center for Clinical Research Dalarna, Sweden","All","18 Years and older   (Adult, Older Adult)",,"10000","Other","Observational","Observational Model: Case-Control|Time Perspective: Other","UTN: U1111-1251-8195","June 2020","June 2020","June 2020","May 15, 2020",,"May 21, 2020",,,"https://ClinicalTrials.gov/show/NCT04390074"
12,"NCT04342637","COVID-19 Endoscopy Survey","COVID-19 Endo","Completed","No Results Available","COVID-19","Other: Practice details","Effect of GI societies recommendations on prevention of SARS-CoV-2 infection|To measure the percentage change in performed endoscopic procedure in response to COVID-19|Effect of COVID-19 precautions on procedure time|Effect of COVID-19 precautions on time of disinfection|Effect of COVID-19 precautions on procedure success|Effect of COVID-19 precautions on complications|Effect of COVID-19 precautions on working time|Effect of COVID-19 precautions on staff number","Al-Azhar University","All","30 Years to 70 Years   (Adult, Older Adult)",,"163","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","WES-2","April 10, 2020","April 25, 2020","May 1, 2020","April 13, 2020",,"May 20, 2020","Kings County Hospital Center, Brooklyn, NY, USA, Albertson, New York, United States|Faculty of Medicine, Zagazig University, Zagazig, Sharkia, Egypt|Al-Azhar Univerisity, Cairo, Egypt|Ahvaz Imam hospital, Ahvaz, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04342637"
13,"NCT04387929","Detection of Anti-COVID-19 Antibody Levels in an Hospital Population",,"Recruiting","No Results Available","COVID-19","Diagnostic Test: Detection of anti-COVID-19 antibody level","SARS-CoV-2 levels of IgG antibodies|SARS-CoV-2 viral load in nasopharyngeal swab of IgG positive subjects|Epidemiology correlations","Istituto Clinico Humanitas","All","18 Years to 90 Years   (Adult, Older Adult)",,"6000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","1374 IgG COVID-19 HUMANITAS","May 4, 2020","May 30, 2021","May 30, 2021","May 14, 2020",,"May 15, 2020","Humanitas Rozzano/San Pio X, Rozzano, Lombardia, Italy",,"https://ClinicalTrials.gov/show/NCT04387929"
14,"NCT04424004","MURDOCK Cabarrus County COVID-19 Prevalence and Immunity (C3PI) Study","C3PI","Not yet recruiting","No Results Available","COVID 19","Other: COVID-19 PCR and serology testing","Estimate the prevalence of COVID-19 infection based on responses to questionnaire items on symptoms and practices using a biweekly electronic survey.|Assess perceptions, concerns, and practices related to the COVID-19 pandemic and mitigation strategies|Estimate of the prevalence of active infection in Cabarrus County.|Estimate of the prevalence of exposure and potential immunity to COVID-19.","Duke University|North Carolina Department of Health and Human Services","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional","Pro00105703","June 15, 2020","June 30, 2021","June 30, 2021","June 9, 2020",,"June 9, 2020",,,"https://ClinicalTrials.gov/show/NCT04424004"
15,"NCT04404062","Validation of COVID-19 Tests",,"Active, not recruiting","No Results Available","COVID-19","Diagnostic Test: Covid-19 Rapid Test Kit (RAPG-COV-019)|Diagnostic Test: Quantitative IgG Test","Identification of asymptomatic carriers of SARS-CoV-2|Validation of the ability of the immunoassay kit to detect antibodies to SARS-CoV-2|Development of a quantitative laboratory reference test for the measurement of SARS-CoV-2|Exploration of SARS-CoV-2 epidemiology","Richmond Pharmacology Limited","All","18 Years to 70 Years   (Adult, Older Adult)",,"500","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","C20010","March 16, 2020","August 2020","August 2020","May 27, 2020",,"May 27, 2020","Richmond Pharmacology Ltd. 1a Newcomen St, London Bridge, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04404062"
16,"NCT04376996","Slovenian National COVID-19 Prevalence Study","SLO-COVID-19","Recruiting","No Results Available","COVID-19|SARS-CoV-2","Diagnostic Test: NO intervention planned due to the observational study design - only a diagnostic testing","Prevalence of SARS-CoV-2 RNA in nasopharyngeal samples|Prevalence of anti-SARS-CoV-2 antibodies in blood samples","University of Ljubljana","All","Child, Adult, Older Adult",,"3000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","ULMF2020-COVID-19","April 20, 2020","October 2020","December 2020","May 6, 2020",,"May 7, 2020","University of Ljubljana, Ljubljana, Slovenia",,"https://ClinicalTrials.gov/show/NCT04376996"
17,"NCT04364828","NGS Diagnostic in COVID-19 Hosts - Genetic Cause Relating to the Course of Disease Progression","COVID-19 NGS","Not yet recruiting","No Results Available","COVID-19","Genetic: Whole Genome Analysis|Genetic: T-cell receptor (TCR) repertoire|Genetic: SARS-CoV-2 viral composition","Viral evolution|Immune response|Disease severity","University Hospital Tuebingen","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","COVID-19 NGS","April 2020","April 2021","August 2021","April 28, 2020",,"May 1, 2020",,,"https://ClinicalTrials.gov/show/NCT04364828"
18,"NCT04361422","Isotretinoin in Treatment of COVID-19","Randomized","Not yet recruiting","No Results Available","COVID-19","Drug: Isotretinoin Only Product in Oral Dose Form","Clinical clearance","Tanta University","All","18 Years to 40 Years   (Adult)","Phase 3","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","9469305c","April 21, 2020","June 2020","September 2020","April 24, 2020",,"April 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04361422"
19,"NCT04453748","The Assessment of the Prevalence, Clinical Course and Treatment of COVID-19 Complications",,"Enrolling by invitation","No Results Available","COVID-19|Coronavirus Infection|Sars-CoV2|Complications","Other: Complex diagnostic panel","Prevalence of COVID-19 complications|Assessment of risk factors of COVID-19 complications","Silesian Centre for Heart Diseases|Medical University of Silesia","All","18 Years to 120 Years   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-19 Complications Study","June 8, 2020","October 31, 2021","November 30, 2021","July 1, 2020",,"July 1, 2020","Silesian Centre for Heart Disease, Zabrze, Silesia, Poland",,"https://ClinicalTrials.gov/show/NCT04453748"
20,"NCT04339322","Characteristics and Outcome of Coronavirus Disease 2019 (COVID-19) in Egypt","COVID-19","Not yet recruiting","No Results Available","Characteristics Diseases|Outcome, Fatal","Other: Follow up","Demographics of Coronavirus Disease 2019 (COVID-19) in the cohort group|Clinical manifestations of Coronavirus Disease 2019 (COVID-19)|Laboratory data of included Coronavirus Disease 2019 (COVID-19) cohort|Radiological features of Coronavirus Disease 2019 (COVID-19) cohort|outcomes of Coronavirus Disease 2019 (COVID-19) infection in the cohort group","Assiut University","All","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-19 in Egypt","May 1, 2020","July 30, 2020","July 30, 2020","April 9, 2020",,"April 9, 2020",,,"https://ClinicalTrials.gov/show/NCT04339322"
21,"NCT04323787","Viral Infection and Respiratory Illness Universal Study[VIRUS]: COVID-19 Registry","COVID-19","Recruiting","No Results Available","Coronavirus","Other: observational","ICU and hospital mortality of COVID-19 patients|30 days mortality","Mayo Clinic","All","Child, Adult, Older Adult",,"50000","Other","Observational","Observational Model: Cohort|Time Perspective: Other","20-002610","March 30, 2020","April 30, 2021","April 30, 2021","March 27, 2020",,"April 14, 2020","Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Society of Critical Care Medicine (150+ sites), Chicago, Illinois, United States|Rahul Kashyap, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04323787"
22,"NCT04407494","Diagnostic Value of Patient - Reported and Clinically Verified Olfactory Disorders (COVID-19)","COVID-OLFA","Completed","No Results Available","COVID-19","Biological: Reporting of anosmia, ageusia and other clinical symptoms","Diagnostic values of anosmia and ageusia for COVID-19|Diagnostic values of CODA","University Hospital, Montpellier","All","18 Years and older   (Adult, Older Adult)",,"809","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RECHMPL20_0176","March 1, 2020","April 1, 2020","April 30, 2020","May 29, 2020",,"June 1, 2020","Uhmontpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04407494"
23,"NCT04353206","Convalescent Plasma in ICU Patients With COVID-19-induced Respiratory Failure",,"Recruiting","No Results Available","Covid-19|Sars-CoV2","Biological: Multiple Doses of Anti-SARS-CoV-2 convalescent plasma","Proportion of subjects who consent to the study and receive at least one dose of convalescent plasma.|Overall survival of patients in the ICU receiving at least once dose of convalescent plasma for Covid-19-induced respiratory failure.","Noah Merin|Johns Hopkins University|Cedars-Sinai Medical Center","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Acute Care CP Consortium Trial","May 2020","May 2021","May 2021","April 20, 2020",,"May 14, 2020","8700 Beverly Blvd., Los Angeles, California, United States|Johns Hopkins University, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04353206"
24,"NCT04360811","Assessment of Obstetric, Fetal and Neonatal Risks and Vertical SARS-CoV-2 Transmission During COVID-19 Pandemic","COroFet","Recruiting","No Results Available","Pregnancy","Diagnostic Test: COVID 19 diagnostic test by PCR","number of positive COVID-19 women","University Hospital, Toulouse","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","3600","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","RC31/20/0123","April 17, 2020","April 2021","April 2022","April 24, 2020",,"April 24, 2020","University Hospital of Toulouse, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT04360811"
25,"NCT04337996","Dynamic Evaluation of COVID-19 Diagnostic Tests","TRODVID-19","Not yet recruiting","No Results Available","COVID-19","Diagnostic Test: COVID-19 diagnostic test","Comparison of the proportion of patients classified as COVID-19 positive according to the 2 strategies|Positive or negative Covid-19 test|Positive or negative character of the antibodies test|Biological parameters|medical-economic comparison","Tourcoing Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","165","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","RIPH_2020_6","June 2020","December 2020","December 2020","April 8, 2020",,"June 12, 2020",,,"https://ClinicalTrials.gov/show/NCT04337996"
26,"NCT04330261","Clinical Characteristics and Outcomes of Pediatric COVID-19","PERN-COVID-19","Recruiting","No Results Available","COVID-19|SARS-CoV-2 Infection|Pediatric ALL|Pneumonia, Viral|Pandemic Response","Other: Exposure (not intervention) - SARS-CoV-2 infection","Clinical characteristics of children with SARS-CoV-2|Factors associated with severe COVID-19 outcomes|Health care resource utilization for COVID-19 patient management|Sensitivity and specificity of COVID-19 case screening policies","University of Calgary","All","up to 18 Years   (Child, Adult)",,"12500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","REB18-0107_MOD9","March 18, 2020","March 17, 2021","March 17, 2022","April 1, 2020",,"April 1, 2020","University of Calgary/Alberta Children's Hospital, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT04330261"
27,"NCT04413045","Novel COVID-19, A National Analysis",,"Recruiting","No Results Available","COVID-19","Other: Prevalence of COVID-19","Patient Prognosis Score|Oxygen Saturation|Laboratory Data|Radiological Features|Hospital Stay|Liver Function|Kidney Function","Assiut University","All","Child, Adult, Older Adult",,"50","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","Novel COVID-19 Prevalence","May 20, 2020","June 2020","June 2020","June 2, 2020",,"June 2, 2020","Assiut University Hospitals, Assiut, Egypt",,"https://ClinicalTrials.gov/show/NCT04413045"
28,"NCT04379310","Evaluation of Clinical Parameters on Admission and Medications in Covid-19 Pneumonia (Corona Virus Disease 2019)","Covid-19","Completed","No Results Available","Covid-19","Drug: ACE Inhibitors and Calcium Channel Blockers","extend of lung involvement|oxygen saturation on admission","Nisantasi University","All","18 Years to 99 Years   (Adult, Older Adult)",,"54","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","20200504441","May 1, 2020","May 5, 2020","May 8, 2020","May 7, 2020",,"June 5, 2020","Vital Hospital, Bahcelievler, Istanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04379310"
29,"NCT04424849","Thorax Computed Tomography Severity Score and Outcome in COVID-19 Patients",,"Recruiting","No Results Available","COVID-19","Diagnostic Test: CT-Scan","Invasive respiratory support in patients with COVID-19|Mortality in patients with COVID-19","Tepecik Training and Research Hospital","All","18 Years and older   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","2020/5-4","March 15, 2020","June 15, 2020","July 15, 2020","June 11, 2020",,"June 11, 2020","Tepecik Training and Research Hospital, Izmir, Izmir, Konak, Turkey",,"https://ClinicalTrials.gov/show/NCT04424849"
30,"NCT04343781","National Survey of Symptoms of People Aged 70 and Overs Diagnosed With COVID-19","COVID19PUGG2","Completed","No Results Available","SARS-CoV-2|COVID-19","Other: observation","symptoms of COVID-19 in older patients","University Hospital, Angers","All","70 Years and older   (Older Adult)",,"353","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","ar20-0031v1","March 22, 2020","April 5, 2020","April 5, 2020","April 13, 2020",,"June 16, 2020","Angers University Hospital, Angers, France",,"https://ClinicalTrials.gov/show/NCT04343781"
31,"NCT04355897","CoVID-19 Plasma in Treatment of COVID-19 Patients",,"Recruiting","No Results Available","COVID 19","Biological: Convalescent COVID 19 Plasma","Reduce mortality|Reduce requirement for mechanical ventilation.|Reduce the duration of mechanical ventilation.|Review of treatment related adverse events.","The Christ Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Early Phase 1","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-23","April 28, 2020","July 2020","August 2020","April 21, 2020",,"May 20, 2020","The Christ Hospital, Cincinnati, Ohio, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04355897"
32,"NCT04366882","Minimal Invasive Autopsies to Investigate Changes in Deceased COVID-19 Patients","MIA-COVID-19","Recruiting","No Results Available","COVID-19","Procedure: CT-scan with minimal invasive autopsy","Determination of cause of death and contributing factors based on clinical, radiological, microbiological and histopathological data of the deceased patient|Detailed description of the postmortem radiological changes induced by COVID-19|Detailed description of the postmortem histopathological changes induced by COVID-19|Postmortem quantity of viral RNA|Postmortem disease mechanisms at cellular level","Jessa Hospital|Hasselt University|University Hospital, Antwerp","All","Child, Adult, Older Adult","Not Applicable","45","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","JessaH_COVID-19_MIA","April 14, 2020","December 2020","December 2020","April 29, 2020",,"April 29, 2020","Jessa Hospital, Hasselt, Belgium",,"https://ClinicalTrials.gov/show/NCT04366882"
33,"NCT04392323","Incidence of COVID-19 Test Conversion in Post-surgical Patients",,"Recruiting","No Results Available","Sars-CoV2","Diagnostic Test: COVID-19 PCR and Serology","COVID-19 Test Conversion|Duration of Hospitalization|Rate of self-reported COVID-19 exposure|Rate of complications from COVID-19","Northwell Health","All","18 Years and older   (Adult, Older Adult)","Not Applicable","500","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB #20-0404","May 13, 2020","July 1, 2020","July 31, 2020","May 18, 2020",,"May 18, 2020","North Shore University Hospital, Manhasset, New York, United States|Long Island Jewish Medical Center, New Hyde Park, New York, United States",,"https://ClinicalTrials.gov/show/NCT04392323"
34,"NCT04303299","Various Combination of Protease Inhibitors, Oseltamivir, Favipiravir, and Hydroxychloroquine for Treatment of COVID-19 : A Randomized Control Trial","THDMS-COVID-19","Not yet recruiting","No Results Available","SARS-COV-2 Infections|COVID-19","Drug: Oral","SARS-CoV-2 eradication time|Number of patient with Death|Number of patient with Recovery adjusted by initial severity in each arm|Number of day With ventilator dependent adjusted by initial severity in each arm|Number of patient developed Acute Respiratory Distress Syndrome After treatment","Rajavithi Hospital","All","16 Years to 100 Years   (Child, Adult, Older Adult)","Phase 3","320","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TH-DMS-COVID19 study","July 15, 2020","December 31, 2020","March 30, 2021","March 11, 2020",,"June 16, 2020","Assistant Professor Subsai Kongsaengdao, Bangkok, Thailand",,"https://ClinicalTrials.gov/show/NCT04303299"
35,"NCT04376788","Exchange Transfusion Versus Plasma From Convalescent Patients With Methylene Blue in Patients With COVID-19","COVID-19","Not yet recruiting","No Results Available","COVID-19","Biological: exchange blood transfusion from normal donor|Biological: plasma from convalescent patients with COVID-19|Drug: Methylene Blue 5 MG/ML","improvement of condition|change in organs function with PFS and OS","Ain Shams University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","15","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FMASU P22/2020","May 5, 2020","June 1, 2020","June 1, 2020","May 6, 2020",,"May 6, 2020","Ain Shams University, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT04376788"
36,"NCT04437940","Evaluation of Vaginal Fluid for Covid-19 Positivity in Women With Positive Nasofarengeal Covid-19 Test",,"Recruiting","No Results Available","COVID|Sars-CoV2","Diagnostic Test: Vaginal fluid Covid-19 PCR test","Vaginal fluid Covid-19 PCR test result|becoming negative from positive","Acibadem University","Female","18 Years to 70 Years   (Adult, Older Adult)",,"35","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Acibadem Maslak Ob&Gyn","June 15, 2020","July 10, 2020","July 30, 2020","June 18, 2020",,"June 18, 2020","Acibadem Maslak Hospital, Istanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04437940"
